,ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM,FWBR,FWBR_N,layer
410,com.itextpdf.text.pdf.PdfShadingPattern,11,3,0,11,28,17,5,4,-9.211419034687998,-9.776444355312783,4.0
411,com.itextpdf.text.pdf.PdfICCBased,2,4,0,8,11,1,1,2,-6.6782315351194175,-7.1813747538616886,4.0
412,com.itextpdf.text.pdf.FontDetails,8,1,0,10,31,0,5,2,-8.855700656489336,-10.099153168780362,4.0
413,com.itextpdf.text.pdf.PdfRectangle,22,4,0,4,30,165,15,22,-6.542916707532737,-6.543686771224482,4.0
414,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor,33,1,0,54,111,424,33,6,-16.647740103473673,-18.24025702245139,9.0
415,com.itextpdf.text.pdf.Barcode39,8,2,0,7,38,14,0,6,-7.596824928319741,-8.672095885486037,6.0
416,com.itextpdf.text.pdf.PdfWriter$PdfBody,16,1,0,13,65,74,5,0,-10.77165672550341,-12.199910750044449,4.0
417,com.itextpdf.text.pdf.PdfReader$PageRefs,20,1,0,14,83,58,2,6,-11.075513523904839,-12.579609530082447,4.0
418,com.itextpdf.text.html.simpleparser.ChainedProperties$TagAttributes,1,1,0,0,2,0,1,0,0.6001384041726006,0.5893628394357852,7.0
419,com.itextpdf.text.pdf.DefaultSplitCharacter,4,1,0,2,7,6,1,2,-4.29902658129962,-4.656802799761665,4.0
420,com.itextpdf.text.pdf.CMYKColor,8,3,0,1,11,0,5,8,-2.0003380679302776,-1.8794471157224908,4.0
421,com.itextpdf.text.pdf.CFFFontSubset,40,2,0,18,96,186,1,2,-12.235750056193794,-13.249247426159002,4.0
422,com.itextpdf.text.pdf.AcroFields$1,0,1,0,0,0,0,3,0,0.7540801391382728,1.1875633328944055,4.0
423,com.itextpdf.text.pdf.PdfEFStream,3,4,0,11,37,3,1,3,-7.686527424676373,-8.920692317629937,4.0
424,com.itextpdf.text.pdf.BaseField,43,1,3,11,91,773,4,35,-11.905770619332168,-12.378182793376507,4.0
425,com.itextpdf.text.pdf.fonts.cmaps.CMap,9,1,0,2,26,2,3,8,-4.260619833954579,-5.158160051920464,4.0
426,com.itextpdf.text.pdf.ColumnText,66,1,0,26,229,1649,6,59,-14.466200979022023,-16.132706750806683,4.0
427,com.itextpdf.text.pdf.parser.GraphicsState,12,1,0,2,14,24,15,12,-5.074218169457259,-5.372628044563167,6.0
428,com.itextpdf.text.pdf.parser.Matrix,10,1,0,0,17,0,13,10,-0.13028407219389315,-0.5553559968582016,0.0
429,com.itextpdf.text.pdf.collection.PdfCollectionItem,10,3,0,9,24,25,1,10,-8.566804220719805,-9.043495947444537,4.0
430,com.itextpdf.text.pdf.DefaultFontMapper,11,1,1,4,40,21,2,11,-6.863552076203029,-7.690523140051076,4.0
431,com.itextpdf.text.pdf.PdfStamperImp$PageStamp,1,1,0,6,5,0,2,0,-6.529088043931246,-7.284607552031301,4.0
432,com.itextpdf.text.pdf.PdfPageEvent,11,1,0,4,11,55,4,11,-7.175246377511521,-7.403146684493462,4.0
433,com.itextpdf.text.pdf.PdfPageLabels$PdfPageLabelFormat,1,1,0,0,2,0,1,1,0.6001384041726006,0.5893628394357852,4.0
434,com.itextpdf.text.pdf.HyphenationEvent,3,1,0,1,3,3,6,3,-2.742383260498868,-2.661707221660921,4.0
435,com.itextpdf.text.pdf.RadioCheckField,14,2,0,15,69,53,0,12,-10.654008719576249,-11.958816949539948,5.0
436,com.itextpdf.text.pdf.qrcode.QRCodeWriter,5,1,0,6,24,10,1,3,-7.3100187820038975,-8.513687712067256,8.0
437,com.itextpdf.text.pdf.PdfStream,12,3,8,16,62,20,37,9,-11.359692573460844,-11.468521731929469,4.0
438,com.itextpdf.text.ImgWMF,6,3,0,9,28,9,2,4,-7.966583936500785,-8.806790551605392,4.0
439,com.itextpdf.text.pdf.fonts.cmaps.CMapParser$LiteralName,3,1,0,2,4,1,1,0,-4.077349171166148,-4.216836984504004,4.0
440,com.itextpdf.text.pdf.ArabicLigaturizer,13,1,0,2,25,72,1,1,-5.10915982949054,-5.767680583180382,4.0
441,com.itextpdf.text.pdf.codec.LZWStringTable,7,1,0,0,14,0,1,7,0.06506240469931379,-0.39618305826612465,0.0
442,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ModifyCurrentTransformationMatrix,3,1,0,7,10,3,1,1,-7.621208267083588,-8.456983328516923,9.0
443,com.itextpdf.text.pdf.qrcode.GF256,10,1,0,1,14,19,3,0,-3.354781901493035,-3.69793527685995,0.0
444,com.itextpdf.text.pdf.FdfReader,12,2,0,10,53,32,4,9,-9.125177169019764,-10.274451956065244,4.0
445,com.itextpdf.text.html.simpleparser.ElementFactory,13,1,0,18,73,66,1,11,-11.706695830292473,-13.361946892611511,9.0
446,com.itextpdf.text.pdf.CFFFont$IndexMarkerItem,2,2,0,3,4,0,2,2,-4.369586108733033,-4.450981386164617,4.0
447,com.itextpdf.text.pdf.PdfPublicKeySecurityHandler,8,1,0,30,65,4,1,5,-12.793357799233307,-14.683123604368697,4.0
448,com.itextpdf.text.pdf.BarcodeCodabar,7,2,0,7,40,7,0,6,-7.370252140395463,-8.552160094673232,6.0
449,com.itextpdf.text.pdf.BarcodeInter25,8,2,0,7,39,14,0,7,-7.587039036291439,-8.681178072919044,6.0
450,com.itextpdf.text.pdf.codec.BitFile,3,1,0,0,6,0,1,3,0.34905809141861777,0.0813156777222711,0.0
451,com.itextpdf.text.LargeElement,3,1,0,1,3,3,3,3,-2.742383260498868,-2.661707221660921,4.0
452,com.itextpdf.text.pdf.PdfFunction,6,1,0,10,23,0,2,4,-8.757120461835742,-9.921953822071709,4.0
453,com.itextpdf.text.log.NoOpLogger,10,1,0,2,11,45,1,10,-5.126688010155603,-5.343492158589358,2.0
454,com.itextpdf.text.pdf.XfdfReader,13,1,0,3,38,30,1,13,-5.897614865115245,-6.899852862720887,4.0
455,com.itextpdf.text.pdf.OutputStreamEncryption,8,2,0,4,22,6,3,8,-5.88220615193283,-6.515773672330611,2.0
456,com.itextpdf.text.pdf.codec.GifImage,22,1,0,12,58,55,1,8,-10.734975656843249,-11.910337843614863,4.0
457,com.itextpdf.text.pdf.parser.RegionTextRenderFilter,2,2,0,4,8,0,0,2,-4.990646923050609,-5.536255522751642,9.0
458,com.itextpdf.text.pdf.PdfGraphics2D$FakeComponent,2,2,0,1,3,1,1,0,-1.941031436533306,-1.7685294029048462,4.0
459,com.itextpdf.text.pdf.qrcode.Encoder,23,1,0,16,96,251,1,4,-11.858737248530344,-13.399363363501568,7.0
460,com.itextpdf.text.xml.xmp.PdfSchema,4,5,0,2,7,6,1,4,-3.1038378382268657,-2.7745594498925956,4.0
461,com.itextpdf.text.ImgRaw,2,3,0,3,10,1,5,1,-3.871969355867408,-4.354728542965002,4.0
462,com.itextpdf.text.pdf.draw.DottedLineSeparator,4,3,0,2,11,0,0,4,-3.051031103636102,-3.2952437877218617,7.0
463,com.itextpdf.text.pdf.events.PdfPTableEventForwarder,4,1,0,4,12,0,1,4,-5.716015073595643,-6.5132618881747595,4.0
464,com.itextpdf.text.pdf.AcroFields$SorterComparator,4,1,0,1,5,6,1,2,-2.868895266366628,-2.964731972863795,4.0
465,com.itextpdf.text.html.HtmlUtilities,10,1,0,2,41,41,6,9,-4.626703542711672,-5.7779581346174576,6.0
466,com.itextpdf.text.pdf.PRTokeniser$TokenType,4,2,0,1,7,4,6,2,-2.2582861006151425,-2.3180149548412143,4.0
467,com.itextpdf.text.pdf.qrcode.BlockPair,3,1,0,1,4,0,1,2,-2.415911412381841,-2.514176215683606,1.0
468,com.itextpdf.text.pdf.internal.PolylineShape,12,1,0,1,20,60,2,11,-3.5574059678984025,-4.050891725930018,4.0
469,com.itextpdf.text.pdf.BarcodeDatamatrix$DmParams,1,1,0,0,2,0,1,0,0.6001384041726006,0.5893628394357852,5.0
470,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextFont,3,1,0,12,11,3,1,1,-9.433175954493285,-10.390726595047846,9.0
471,com.itextpdf.text.pdf.XfaForm$InverseStore,3,1,0,0,10,0,1,3,0.5237603255967495,-0.08082369916664667,4.0
472,com.itextpdf.text.pdf.PdfPatternPainter,39,3,0,14,73,683,6,33,-11.332896969595932,-11.938578045738948,4.0
473,com.itextpdf.text.pdf.codec.TiffWriter$FieldLong,2,2,0,1,3,0,1,2,-1.8209204682633775,-1.6547400645438612,2.0
474,com.itextpdf.text.xml.XMLUtil,8,1,0,0,20,28,6,8,-0.4866955928526049,-1.1043526691614793,0.0
475,com.itextpdf.text.DocListener,9,1,0,2,9,36,9,9,-5.079874691325664,-5.214282000138432,4.0
476,com.itextpdf.text.pdf.codec.wmf.MetaPen,5,2,0,3,9,0,2,5,-4.680249064258263,-4.9037304996432445,4.0
477,com.itextpdf.text.pdf.IntHashtable$IntHashtableIterator,5,1,0,2,8,4,1,4,-4.347382104989368,-4.6975032706371165,4.0
478,com.itextpdf.text.pdf.PdfDocument,77,2,0,69,438,1466,14,18,-17.503172419951117,-19.42850268255647,4.0
479,com.itextpdf.text.pdf.codec.GifImage$GifFrame,1,1,0,1,2,0,1,0,-2.0347771478742263,-2.1268308114403163,4.0
480,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$EndText,3,1,0,5,7,3,1,1,-6.65070890691913,-7.215423079414884,9.0
481,com.itextpdf.text.pdf.PdfPages,8,1,0,13,36,0,3,0,-9.7163331258761,-11.096260978509534,4.0
482,com.itextpdf.text.pdf.XfaForm$AcroFieldsSearch,3,2,0,2,12,0,1,3,-3.1468033192677094,-3.7511356145922514,4.0
483,com.itextpdf.text.pdf.PdfAppearance,8,3,0,16,37,12,8,3,-10.134469230271336,-11.100162211184687,4.0
484,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$BeginMarkedContent,3,1,0,6,7,3,1,1,-7.236694156555887,-7.819483962251907,9.0
485,com.itextpdf.text.api.Indentable,4,1,0,0,4,6,5,4,-0.304451023302187,-0.1831346127523557,0.0
486,com.itextpdf.text.pdf.Type1Font,18,2,0,21,84,75,1,11,-12.046063182629668,-13.402079011157863,4.0
487,com.itextpdf.text.pdf.PdfPSXObject,4,3,0,10,10,6,1,2,-8.360924871422094,-8.674898612399756,4.0
488,com.itextpdf.text.Jpeg,8,3,0,5,30,20,2,3,-6.3373053105601995,-7.024772140339198,4.0
489,com.itextpdf.text.pdf.FilterHandlers$Filter_ASCIIHEXDECODE,3,1,0,6,5,3,1,1,-7.347889632137274,-7.71628456581345,4.0
490,com.itextpdf.text.pdf.fonts.cmaps.CMapParser$1,0,1,0,0,0,0,3,0,0.7540801391382728,1.1875633328944055,4.0
491,com.itextpdf.text.pdf.crypto.ARCFOUREncryption,7,1,0,0,8,15,4,7,-0.6128268555389572,-0.6680933445269539,0.0
492,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$FormXObjectDoHandler,3,1,0,17,18,3,1,1,-10.492610633055147,-11.830786305882086,9.0
493,com.itextpdf.text.pdf.PdfShading,23,1,0,18,54,193,5,15,-12.455526233163829,-13.588742265819308,4.0
494,com.itextpdf.text.pdf.PdfCopyForms,18,1,0,11,37,0,0,18,-9.743750327558963,-10.721785242444813,6.0
495,com.itextpdf.text.pdf.parser.LineSegment,6,1,0,2,14,0,5,6,-3.9997194157707785,-4.661929599550768,2.0
496,com.itextpdf.text.pdf.qrcode.GF256Poly,12,1,0,1,29,0,2,1,-2.7071966193417945,-3.5039860672441727,0.0
497,com.itextpdf.text.html.simpleparser.CellWrapper,11,1,0,8,32,45,2,11,-8.9845538692373,-10.037066689311683,8.0
498,com.itextpdf.text.pdf.codec.wmf.MetaDo,9,1,0,14,128,16,1,8,-10.074770928839705,-12.310764890553173,4.0
499,com.itextpdf.text.WritableDirectElement,6,1,0,3,9,15,0,6,-5.730473270942497,-6.098957793431403,5.0
500,com.itextpdf.text.xml.simpleparser.IanaEncodings,3,1,0,0,8,1,3,2,0.32608570093699984,-0.12262699238382008,0.0
501,com.itextpdf.text.pdf.TrueTypeFontUnicode,19,3,0,21,84,127,2,9,-11.866239032630176,-13.009876921497035,4.0
502,com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$MoveNextLineAndShowTextWithSpacing,2,1,0,8,9,0,1,2,-7.6254315975553295,-8.572055040476554,9.0
503,com.itextpdf.text.pdf.qrcode.FormatInformation,9,1,0,1,12,14,1,2,-3.280686241718686,-3.5713100229101906,1.0
504,com.itextpdf.text.Font,36,1,0,7,49,268,23,36,-9.622138086520877,-10.346053974073785,4.0
505,com.itextpdf.text.pdf.PdfEncodings$WingdingsConversion,6,1,0,2,9,9,1,3,-4.555440636330335,-4.894478219570775,4.0
506,com.itextpdf.text.pdf.RandomAccessFileOrArray,50,1,0,4,97,907,24,46,-8.054039233468727,-9.039884784886864,4.0
507,com.itextpdf.text.pdf.OcspClientBouncyCastle,4,1,0,23,46,4,0,2,-11.461051146064525,-13.385347856303152,5.0
508,com.itextpdf.text.pdf.PdfGraphics2D$HyperLinkKey,4,2,0,0,5,6,1,2,0.20712888961468057,0.44614169498696904,4.0
509,com.itextpdf.text.pdf.LtvVerification$Level,4,2,0,1,7,4,1,2,-2.2582861006151425,-2.3180149548412143,6.0
510,com.itextpdf.text.pdf.FilterHandlers$Filter_FLATEDECODE,3,1,0,6,6,3,1,1,-7.288306989366029,-7.771582614048337,4.0
511,com.itextpdf.text.pdf.PdfImportedPage,16,3,0,14,26,96,7,11,-10.66989751099761,-11.004295318113035,4.0
512,com.itextpdf.text.pdf.hyphenation.TernaryTree,22,1,1,3,44,127,2,16,-6.827521901727739,-7.330154346583053,1.0
513,com.itextpdf.text.pdf.SpotColor,5,3,0,3,12,0,4,5,-4.265867945501386,-4.50496439272895,4.0
514,com.itextpdf.text.xml.simpleparser.SimpleXMLDocHandler,5,1,0,0,5,10,7,5,-0.4644876326357791,-0.37642258267240336,0.0
515,com.itextpdf.text.pdf.interfaces.PdfViewerPreferences,2,1,0,2,2,1,6,2,-4.034662306563552,-3.9488814539004657,4.0
516,com.itextpdf.text.pdf.PdfSigGenericPKCS$PPKLite,2,5,0,4,5,1,1,2,-4.513398972741822,-4.317030148238229,5.0
517,com.itextpdf.text.pdf.PdfTemplate,26,2,4,16,47,207,21,19,-12.509501994533622,-12.455495102515048,4.0
518,com.itextpdf.text.pdf.codec.TiffWriter$FieldBase,6,1,7,1,11,1,9,5,-3.640090691054797,-3.106799836707685,2.0
519,com.itextpdf.text.pdf.PdfFont,12,1,0,3,19,16,6,2,-5.989782511578109,-6.539838030421268,4.0
520,com.itextpdf.text.pdf.collection.PdfCollectionSchema,2,3,0,4,5,1,2,2,-4.954507576676303,-5.011710165212891,4.0
521,com.itextpdf.text.GreekList,5,2,0,7,23,6,0,4,-7.313970729147448,-8.253425695298525,6.0
522,com.itextpdf.text.xml.XmlDomWriter,9,1,0,0,38,14,2,6,-0.2211327729713598,-1.2492185284325303,0.0
523,com.itextpdf.text.pdf.parser.SimpleTextExtractionStrategy,6,1,0,5,24,9,1,6,-6.836189580659046,-7.9393703176099795,10.0
524,com.itextpdf.text.factories.GreekAlphabetFactory,5,1,0,1,9,10,1,5,-2.9019577975240485,-3.2758633007316154,5.0
525,com.itextpdf.text.pdf.PageResources,15,1,0,7,46,19,14,0,-8.495928998374035,-9.650353136990503,4.0
526,com.itextpdf.text.pdf.PdfTextArray,7,1,0,1,20,0,2,5,-2.4397991955938814,-3.233078466612451,4.0
527,com.itextpdf.text.pdf.hyphenation.TernaryTree$Iterator$Item,4,1,0,1,4,0,1,4,-2.6021724573833254,-2.579881204503068,1.0
528,com.itextpdf.text.pdf.PdfAcroForm,35,3,0,20,123,27,5,35,-11.770709369715332,-12.886623173906928,4.0
529,com.itextpdf.text.pdf.interfaces.PdfPageActions,3,1,0,4,3,3,1,3,-6.225552156405214,-6.252319919908716,4.0
