ClassName,WMC,DIT,NOC,CBO,RFC,LCOM,CA,NPM
com.itextpdf.text.pdf.PdfCopy$StampContent,3,2,0,3,4,0,1,1
com.itextpdf.text.pdf.PdfRendition,1,3,0,6,9,0,1,0
com.itextpdf.text.pdf.FontSelector,3,1,0,8,28,0,1,3
com.itextpdf.text.FontProvider,2,1,0,2,2,1,3,2
com.itextpdf.text.pdf.codec.TiffWriter$FieldByte,1,2,0,1,2,0,0,1
com.itextpdf.text.pdf.StandardDecryption,3,1,0,2,12,0,1,3
com.itextpdf.text.pdf.CFFFont$MarkerItem,2,2,0,2,4,0,2,2
com.itextpdf.text.pdf.XfaForm$Stack2,5,4,0,0,11,10,5,5
com.itextpdf.text.pdf.BarcodePDF417$SegmentList,5,1,0,1,12,0,1,4
com.itextpdf.text.pdf.ICC_Profile,8,1,0,2,26,18,6,6
com.itextpdf.text.pdf.draw.VerticalPositionMark,12,1,1,6,18,32,1,12
com.itextpdf.text.xml.simpleparser.EntitiesToSymbol,4,1,0,4,17,4,0,3
com.itextpdf.text.RectangleReadOnly,31,2,0,3,44,465,1,30
com.itextpdf.text.pdf.BarcodeDatamatrix,27,1,0,6,41,261,0,14
com.itextpdf.text.pdf.PdfImage,5,4,0,12,54,0,3,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$3,3,1,0,2,5,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$2,3,1,0,2,8,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$5,3,1,0,5,7,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$4,3,1,0,5,13,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$7,3,1,0,3,12,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$6,3,1,0,2,6,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$9,3,1,0,3,10,3,1,2
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$8,3,1,0,5,14,3,1,2
com.itextpdf.text.pdf.PdfPTable,103,1,0,16,160,3893,10,94
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$SetTextCharacterSpacing,3,1,0,6,7,3,2,1
com.itextpdf.text.pdf.fonts.cmaps.CMapCidUni,3,2,0,6,12,0,3,2
com.itextpdf.text.pdf.security.DigestAlgorithms,9,1,0,0,21,30,6,8
com.itextpdf.text.html.simpleparser.HTMLTagProcessors$1,4,1,0,2,9,6,1,2
com.itextpdf.text.pdf.fonts.cmaps.CMapCache,6,1,0,8,16,7,2,5
com.itextpdf.awt.geom.PolylineShape,12,1,0,1,20,60,2,11
com.itextpdf.text.xml.xmp.DublinCoreSchema,9,5,0,2,14,36,1,9
com.itextpdf.text.pdf.hyphenation.Hyphenator,14,1,0,3,33,53,1,13
com.itextpdf.text.pdf.codec.TIFFLZWDecoder,8,1,0,1,12,0,1,8
com.itextpdf.text.pdf.hyphenation.HyphenationException,1,3,0,0,2,0,0,1
com.itextpdf.text.pdf.ByteBuffer,30,2,0,3,56,293,24,28
com.itextpdf.text.pdf.fonts.cmaps.CMapUniCid,3,2,0,6,12,0,2,2
com.itextpdf.text.pdf.fonts.cmaps.CMapSequence,2,1,0,0,3,1,2,2
com.itextpdf.text.Document,46,1,1,12,81,661,20,45
com.itextpdf.text.pdf.qrcode.Version$ECB,3,1,0,0,4,0,2,2
com.itextpdf.text.pdf.security.LtvVerification$1,0,1,0,0,0,0,2,0
com.itextpdf.text.pdf.PdfCopy$IndirectReferences,5,1,0,1,6,0,2,0
com.itextpdf.text.pdf.security.CertificateInfo$X500Name,7,1,0,7,32,0,2,6
com.itextpdf.text.Paragraph,37,5,1,10,72,284,16,37
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$ImageXObjectDoHandler,3,1,0,12,10,3,1,1
com.itextpdf.text.factories.RomanNumberFactory$RomanDigit,1,1,0,0,2,0,1,0
com.itextpdf.text.xml.simpleparser.handler.HTMLNewLineHandler,2,1,0,1,6,0,1,2
com.itextpdf.text.api.Spaceable,4,1,0,0,4,6,5,4
com.itextpdf.text.pdf.PdfIndirectObject,6,1,0,5,18,7,36,1
com.itextpdf.awt.geom.misc.HashCode,14,1,0,0,18,35,4,14
com.itextpdf.text.pdf.PdfContentParser,8,1,0,11,30,0,4,8
com.itextpdf.text.pdf.ColorDetails,4,1,0,5,6,0,5,2
com.itextpdf.text.pdf.parser.LocationTextExtractionStrategy$TextChunk,12,1,0,1,29,34,2,7
com.itextpdf.text.pdf.codec.TIFFConstants,1,1,0,0,2,0,0,1
com.itextpdf.text.pdf.security.CertificateVerifier,3,1,1,0,9,0,4,3
com.itextpdf.text.log.SysoLogger,13,1,0,2,26,24,0,11
com.itextpdf.text.pdf.PdfDate,7,3,0,1,30,17,8,5
com.itextpdf.text.pdf.BarcodeQRCode,4,1,0,7,17,0,0,3
com.itextpdf.text.pdf.parser.FilteredRenderListener,5,1,1,4,12,0,1,5
com.itextpdf.text.pdf.codec.PngImage$NewByteArrayOutputStream,2,3,0,0,3,1,1,1
com.itextpdf.text.pdf.PdfString,14,2,1,7,32,0,63,12
com.itextpdf.text.pdf.PdfOutline,36,3,0,13,62,452,4,32
com.itextpdf.text.pdf.interfaces.PdfDocumentActions,3,1,0,3,3,3,1,3
com.itextpdf.text.pdf.PdfBorderDictionary,2,3,0,6,7,1,5,2
com.itextpdf.text.html.simpleparser.LinkProcessor,1,1,0,2,1,0,1,1
com.itextpdf.text.pdf.IntHashtable,18,1,0,3,29,0,23,17
com.itextpdf.text.Utilities,24,1,0,3,53,276,19,24
com.itextpdf.text.pdf.hyphenation.HyphenationTree,14,2,0,6,54,45,1,9
com.itextpdf.text.ImgTemplate,2,3,0,4,14,1,1,1
com.itextpdf.text.pdf.qrcode.Mode,7,1,0,1,11,9,2,5
com.itextpdf.text.pdf.qrcode.QRCode,25,1,0,3,36,144,4,25
com.itextpdf.text.pdf.parser.MarkedContentInfo,4,1,0,3,10,0,2,4
com.itextpdf.text.pdf.PdfCopyFields,18,1,0,11,37,0,0,18
com.itextpdf.awt.geom.Rectangle2D,23,2,3,7,47,253,19,22
com.itextpdf.text.factories.RomanAlphabetFactory,5,1,0,1,10,10,2,5
com.itextpdf.text.Font$1,1,1,0,1,3,0,1,0
com.itextpdf.text.pdf.PdfSmartCopy$ByteStore,7,1,0,8,32,5,1,2
com.itextpdf.text.pdf.PdfCopy,30,3,1,43,127,339,4,14
com.itextpdf.awt.geom.Rectangle,49,3,0,6,70,724,7,49
com.itextpdf.text.pdf.security.ProviderDigest,2,1,0,2,4,0,0,2
com.itextpdf.text.BaseColor,17,1,1,1,26,106,56,15
com.itextpdf.text.pdf.draw.DrawInterface,1,1,0,1,1,0,5,1
com.itextpdf.text.xml.xmp.XmpWriter,10,1,0,9,46,23,2,10
com.itextpdf.text.pdf.SimpleNamedDestination,16,1,0,18,82,104,1,14
com.itextpdf.text.pdf.PdfPCell,74,2,0,14,132,1295,10,73
com.itextpdf.text.pdf.parser.PdfContentStreamProcessor$PopGraphicsState,3,1,0,4,6,3,2,1
com.itextpdf.text.log.LoggerFactory,7,1,0,2,11,0,14,5
com.itextpdf.text.pdf.security.LtvVerification$ValidationData,2,1,0,1,4,1,1,0
com.itextpdf.text.pdf.BarcodeDatamatrix$ReedSolomon,5,1,0,0,6,6,1,0
com.itextpdf.text.pdf.PdfDestination,7,3,0,6,17,0,8,7
com.itextpdf.awt.PdfPrinterGraphics2D,5,4,0,3,8,0,1,5
com.itextpdf.text.exceptions.InvalidPdfException,1,4,1,0,2,0,3,1
com.itextpdf.text.pdf.security.CrlClientOffline,3,1,0,2,8,0,0,3
com.itextpdf.text.pdf.BadPdfFormatException,2,5,0,1,4,1,6,0
com.itextpdf.text.pdf.PdfSigLockDictionary,4,3,0,8,11,6,0,4
com.itextpdf.awt.geom.CubicCurve2D$Double,16,2,0,5,21,54,0,16
com.itextpdf.awt.geom.gl.Crossing$CubicCurve,6,1,0,1,9,0,1,1
com.itextpdf.text.pdf.PdfDashPattern,6,3,0,4,12,0,5,6
com.itextpdf.text.pdf.parser.TextMarginFinder,11,1,0,6,16,0,0,11
com.itextpdf.text.pdf.interfaces.PdfRunDirection,2,1,0,0,2,1,1,2
com.itextpdf.text.exceptions.BadPasswordException,1,4,0,0,2,0,4,1
com.itextpdf.text.pdf.codec.CCITTG4Encoder,16,1,0,1,21,84,5,5
com.itextpdf.text.Font$FontFamily,4,2,0,1,7,4,6,2
com.itextpdf.text.pdf.PdfShadingPattern,11,3,0,11,28,17,5,5
com.itextpdf.text.pdf.PdfICCBased,2,4,0,8,11,1,1,2
com.itextpdf.text.pdf.FontDetails,8,1,0,10,33,0,5,3
com.itextpdf.text.pdf.Barcode39,8,2,0,7,38,14,0,6
com.itextpdf.text.pdf.PdfReader$PageRefs,20,1,0,14,82,58,2,6
com.itextpdf.awt.geom.Line2D,38,1,2,8,49,703,6,37
com.itextpdf.text.pdf.fonts.cmaps.CMapByteCid,5,2,0,6,17,4,2,3
com.itextpdf.text.pdf.CMYKColor,8,3,0,1,11,0,5,8
com.itextpdf.text.pdf.PdfEFStream,3,4,0,11,37,3,1,3
com.itextpdf.text.pdf.ColumnText,71,1,0,30,258,1979,7,63
com.itextpdf.text.pdf.parser.GraphicsState,12,1,0,2,14,24,15,12
com.itextpdf.text.pdf.security.CrlClientOnline,8,1,0,5,39,0,0,5
com.itextpdf.text.pdf.parser.Matrix,10,1,0,0,17,0,14,10
com.itextpdf.text.pdf.collection.PdfCollectionItem,10,3,0,9,24,25,1,10
com.itextpdf.text.pdf.PdfStamperImp$PageStamp,1,1,0,6,5,0,2,0
com.itextpdf.text.pdf.PdfPageEvent,11,1,0,4,11,55,5,11
com.itextpdf.text.pdf.internal.PdfIsoKeys,1,1,0,0,2,0,0,1
